# NH2 cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 1.563862e-17 0.000000e+00 1.563862e-17
9.220000e+01 1.595833e-17 0.000000e+00 1.595833e-17
9.320000e+01 1.681334e-17 0.000000e+00 1.681334e-17
9.420000e+01 1.645852e-17 0.000000e+00 1.645852e-17
9.520000e+01 1.639000e-17 0.000000e+00 1.639000e-17
9.620000e+01 1.670823e-17 0.000000e+00 1.670823e-17
9.720000e+01 1.624801e-17 0.000000e+00 1.624801e-17
9.820000e+01 1.588239e-17 0.000000e+00 1.588239e-17
9.920000e+01 1.636532e-17 0.000000e+00 1.636532e-17
1.002000e+02 1.305346e-17 7.181468e-46 1.305346e-17
1.012000e+02 1.330136e-17 2.723206e-40 1.330136e-17
1.022000e+02 1.046998e-17 2.594140e-35 1.046998e-17
1.032000e+02 8.976679e-18 6.209707e-31 8.976679e-18
1.042000e+02 1.020691e-17 3.736176e-27 1.020691e-17
1.052000e+02 5.105722e-18 5.651554e-24 5.105716e-18
1.062000e+02 4.374574e-18 2.149750e-21 4.372425e-18
1.072000e+02 5.159066e-18 2.056693e-19 4.953397e-18
1.082000e+02 6.428740e-18 4.949686e-18 1.479054e-18
1.092000e+02 3.144911e-17 2.996815e-17 1.480955e-18
1.102000e+02 4.648151e-17 4.565032e-17 8.311950e-19
1.112000e+02 1.787931e-17 1.749587e-17 3.834406e-19
1.122000e+02 2.010186e-18 1.687021e-18 3.231656e-19
1.132000e+02 4.523517e-20 4.523517e-20 0.000000e+00
1.142000e+02 8.352349e-21 8.352349e-21 0.000000e+00
1.152000e+02 8.828339e-21 8.828339e-21 0.000000e+00
1.162000e+02 1.320542e-20 1.320542e-20 0.000000e+00
1.172000e+02 1.740437e-20 1.740437e-20 0.000000e+00
1.182000e+02 1.770722e-20 1.770722e-20 0.000000e+00
1.192000e+02 2.207810e-20 2.207810e-20 0.000000e+00
1.202000e+02 2.220059e-20 2.220059e-20 0.000000e+00
1.212000e+02 2.689003e-20 2.689003e-20 0.000000e+00
1.222000e+02 3.633292e-20 3.633292e-20 0.000000e+00
1.232000e+02 4.693600e-20 4.693600e-20 0.000000e+00
1.242000e+02 6.865995e-20 6.865995e-20 0.000000e+00
1.252000e+02 1.004714e-19 1.004714e-19 0.000000e+00
1.262000e+02 1.395564e-19 1.395564e-19 0.000000e+00
1.272000e+02 1.859577e-19 1.859577e-19 0.000000e+00
1.282000e+02 2.309748e-19 2.309748e-19 0.000000e+00
1.292000e+02 2.593411e-19 2.593411e-19 0.000000e+00
1.302000e+02 2.659044e-19 2.659044e-19 0.000000e+00
1.312000e+02 2.415653e-19 2.415653e-19 0.000000e+00
1.322000e+02 1.720252e-19 1.720252e-19 0.000000e+00
1.332000e+02 9.766211e-20 9.766211e-20 0.000000e+00
1.342000e+02 5.041783e-20 5.041783e-20 0.000000e+00
1.352000e+02 1.022889e-19 1.022889e-19 0.000000e+00
1.362000e+02 3.238252e-19 3.238252e-19 0.000000e+00
1.372000e+02 8.574507e-19 8.574507e-19 0.000000e+00
1.382000e+02 1.741637e-18 1.741637e-18 0.000000e+00
1.392000e+02 3.024396e-18 3.024396e-18 0.000000e+00
1.402000e+02 4.001151e-18 4.001151e-18 0.000000e+00
1.412000e+02 3.931963e-18 3.931963e-18 0.000000e+00
1.422000e+02 3.198322e-18 3.198322e-18 0.000000e+00
1.432000e+02 2.419443e-18 2.419443e-18 0.000000e+00
1.442000e+02 1.598389e-18 1.598389e-18 0.000000e+00
1.452000e+02 9.879261e-19 9.879261e-19 0.000000e+00
1.462000e+02 6.054334e-19 6.054334e-19 0.000000e+00
1.472000e+02 3.525457e-19 3.525457e-19 0.000000e+00
1.482000e+02 2.360225e-19 2.360225e-19 0.000000e+00
1.492000e+02 1.907900e-19 1.907900e-19 0.000000e+00
1.502000e+02 2.222826e-19 2.222826e-19 0.000000e+00
1.512000e+02 9.447891e-20 9.447891e-20 0.000000e+00
